TradeDate,Expiry,Strike,CE_OI,CE_Chg_OI,CE_Volume,CE_LTP,PE_OI,PE_Chg_OI,PE_Volume,PE_LTP
20260327,2026-04-13,20500.0,650,0,0,2453.4,0,0,0,0.0
20260327,2026-04-13,20550.0,65,0,0,2399.25,0,0,0,0.0
20260327,2026-04-13,20600.0,65,0,0,2351.8,0,0,0,0.0
20260327,2026-04-13,20650.0,585,0,0,2328.15,0,0,0,0.0
20260327,2026-04-13,20700.0,65,0,0,2273.45,0,0,0,0.0
20260327,2026-04-13,20750.0,65,0,0,2210.1,0,0,0,0.0
20260327,2026-04-13,20800.0,65,0,0,2179.45,0,0,0,0.0
20260327,2026-04-13,20850.0,65,0,0,1911.95,0,0,0,0.0
20260327,2026-04-13,20900.0,65,0,0,1938.3,0,0,0,0.0
20260327,2026-04-13,20950.0,65,0,0,1889.6,0,0,0,0.0
20260327,2026-04-13,21000.0,6305,0,0,1795.5,65,0,0,40.2
20260327,2026-04-13,21050.0,65,0,0,1827.35,0,0,0,0.0
20260327,2026-04-13,21100.0,65,0,0,1785.05,0,0,0,0.0
20260327,2026-04-13,21150.0,65,0,0,1741.05,0,0,0,0.0
20260327,2026-04-13,21200.0,65,0,0,1699.6,0,0,0,0.0
20260327,2026-04-13,21250.0,65,0,0,1657.5,0,0,0,0.0
20260327,2026-04-13,21300.0,65,0,0,1614.35,0,0,0,0.0
20260327,2026-04-13,21350.0,65,0,0,1541.25,0,0,0,0.0
20260327,2026-04-13,21400.0,130,65,1,1745.0,0,0,0,0.0
20260327,2026-04-13,21450.0,65,0,0,1579.85,0,0,0,0.0
20260327,2026-04-13,21500.0,65,0,0,1537.05,2340,2145,34,106.95
20260327,2026-04-13,21550.0,65,0,0,1531.8,0,0,0,0.0
20260327,2026-04-13,21600.0,65,0,0,1500.7,195,130,2,104.3
20260327,2026-04-13,21650.0,65,0,0,1461.15,0,0,0,0.0
20260327,2026-04-13,21700.0,65,0,0,1421.8,0,0,0,0.0
20260327,2026-04-13,21750.0,65,0,0,1376.7,0,0,0,0.0
20260327,2026-04-13,21800.0,325,0,6,1492.7,77350,51675,2307,261.65
20260327,2026-04-13,21850.0,130,65,2,1372.25,0,0,0,0.0
20260327,2026-04-13,21900.0,195,130,3,1324.65,0,0,0,0.0
20260327,2026-04-13,21950.0,130,65,2,1356.75,0,0,0,0.0
20260327,2026-04-13,22000.0,3315,-2860,82,1142.8,0,0,0,0.0
20260327,2026-04-13,22050.0,195,130,3,1206.6,0,0,0,0.0
20260327,2026-04-13,22100.0,130,65,2,1244.15,0,0,0,0.0
20260327,2026-04-13,22150.0,130,65,2,1197.95,51805,21320,1266,350.0
20260327,2026-04-13,22200.0,130,65,1,1159.55,0,0,0,0.0
20260327,2026-04-13,22250.0,65,65,2,1121.85,0,0,0,0.0
20260327,2026-04-13,22300.0,1885,-65,2,1012.75,0,0,0,0.0
20260327,2026-04-13,22350.0,325,130,3,916.1,0,0,0,0.0
20260327,2026-04-13,22400.0,2210,1040,32,919.9,0,0,0,0.0
20260327,2026-04-13,22450.0,325,260,7,859.65,0,0,0,0.0
20260327,2026-04-13,22500.0,12545,6890,401,817.9,277030,74750,8537,459.8
20260327,2026-04-13,22550.0,2795,-260,4,790.95,6175,1170,191,468.0
20260327,2026-04-13,22600.0,5850,65,36,738.15,13260,5850,634,488.45
20260327,2026-04-13,22650.0,1495,0,1,726.45,65,65,1,296.7
20260327,2026-04-13,22700.0,5915,1950,159,679.85,0,0,0,0.0
20260327,2026-04-13,22750.0,1300,-65,4,645.05,0,0,0,0.0
20260327,2026-04-13,22800.0,31525,11570,754,613.95,0,0,0,0.0
20260327,2026-04-13,22850.0,0,0,0,0.0,0,0,0,0.0
20260327,2026-04-13,22900.0,45240,32175,1358,554.85,37115,23790,2344,614.55
20260327,2026-04-13,22950.0,7930,1300,529,532.35,0,0,0,0.0
20260327,2026-04-13,23000.0,347035,297570,10917,512.95,308880,191295,16577,662.0
20260327,2026-04-13,23050.0,7345,6370,306,482.8,0,0,0,0.0
20260327,2026-04-13,23100.0,53755,32240,1755,455.1,31135,11700,1639,712.2
20260327,2026-04-13,23150.0,4030,2535,219,439.8,5330,1690,164,741.9
20260327,2026-04-13,23200.0,50570,21580,2450,413.0,22555,-9490,1790,768.85
20260327,2026-04-13,23250.0,2405,780,57,396.1,5005,-3900,246,790.0
20260327,2026-04-13,23300.0,87230,50570,2227,367.0,52910,20605,1720,811.85
20260327,2026-04-13,23350.0,7605,-10205,574,355.3,3055,0,0,1040.2
20260327,2026-04-13,23400.0,39000,7735,794,329.0,9360,-1365,359,879.4
20260327,2026-04-13,23450.0,7605,2145,206,313.15,3315,-3185,84,908.0
20260327,2026-04-13,23500.0,145210,68770,5580,294.0,59410,19955,1818,945.0
20260327,2026-04-13,23550.0,8710,3445,197,276.0,1885,-715,18,930.5
20260327,2026-04-13,23600.0,17030,5720,696,262.25,15795,-1365,156,1012.95
20260327,2026-04-13,23650.0,8905,6825,315,243.85,1430,0,1,807.0
20260327,2026-04-13,23700.0,19370,8060,720,226.85,2860,845,40,1053.4
20260327,2026-04-13,23750.0,10010,7735,237,213.5,715,0,0,1256.55
20260327,2026-04-13,23800.0,32695,13000,1444,200.5,3640,-65,8,1131.55
20260327,2026-04-13,23850.0,4875,2210,177,184.2,1560,0,0,1401.05
20260327,2026-04-13,23900.0,15990,9230,603,171.8,1885,0,5,1210.0
20260327,2026-04-13,23950.0,6370,1820,141,160.35,650,65,2,1185.05
20260327,2026-04-13,24000.0,170690,75920,8295,149.0,31135,780,873,1287.6
20260327,2026-04-13,24050.0,7930,1170,261,137.5,130,0,0,1214.95
20260327,2026-04-13,24100.0,31980,21320,772,126.0,1495,130,2,1160.0
20260327,2026-04-13,24150.0,6955,1495,274,118.6,65,0,0,1292.5
20260327,2026-04-13,24200.0,33020,6760,1519,109.05,1040,0,0,960.2
20260327,2026-04-13,24250.0,12285,3835,306,100.6,65,0,0,1375.35
20260327,2026-04-13,24300.0,29835,17615,1302,94.05,130,0,0,1377.2
20260327,2026-04-13,24350.0,7995,1755,271,86.1,130,0,0,1065.0
20260327,2026-04-13,24400.0,41665,24570,1341,79.6,260,130,3,1518.0
20260327,2026-04-13,24450.0,6890,1365,244,74.7,130,0,0,1503.5
20260327,2026-04-13,24500.0,189670,93600,8332,68.55,650,260,4,1675.0
20260327,2026-04-13,24550.0,4290,-325,268,63.05,0,0,2,1650.0
20260327,2026-04-13,24600.0,44915,25740,1413,57.9,325,65,1,1700.0
20260327,2026-04-13,24650.0,4355,585,224,54.35,0,0,0,1820.6
20260327,2026-04-13,24700.0,24375,15990,820,49.3,325,65,1,1700.0
20260327,2026-04-13,24750.0,7215,-390,236,45.0,0,0,0,0.0
20260327,2026-04-13,24800.0,43550,32500,1492,40.1,195,195,3,1800.0
