TradeDate,Expiry,Strike,CE_OI,CE_Chg_OI,CE_Volume,CE_LTP,PE_OI,PE_Chg_OI,PE_Volume,PE_LTP
20260327,2026-04-28,20500.0,5265,5070,98,2509.0,134420,72800,1204,126.85
20260327,2026-04-28,20550.0,65,0,0,2518.5,0,0,0,0.0
20260327,2026-04-28,20600.0,130,0,0,2410.0,0,0,0,0.0
20260327,2026-04-28,20650.0,130,0,0,2365.95,0,0,0,0.0
20260327,2026-04-28,20700.0,130,0,0,2322.35,0,0,0,0.0
20260327,2026-04-28,20750.0,130,0,0,2279.6,0,0,0,0.0
20260327,2026-04-28,20800.0,195,65,1,2455.15,325,325,5,22.55
20260327,2026-04-28,20850.0,195,0,0,2207.25,0,0,0,0.0
20260327,2026-04-28,20900.0,130,0,0,2166.9,0,0,0,0.0
20260327,2026-04-28,20950.0,260,0,0,2124.4,0,0,0,0.0
20260327,2026-04-28,21000.0,1033760,468715,10715,2115.05,2871635,567385,46774,223.45
20260327,2026-04-28,21050.0,65,0,0,2552.35,0,0,0,0.0
20260327,2026-04-28,21100.0,260,0,0,1802.45,0,0,0,0.0
20260327,2026-04-28,21150.0,195,0,0,1961.3,0,0,0,0.0
20260327,2026-04-28,21200.0,195,0,0,1903.65,0,0,0,0.0
20260327,2026-04-28,21250.0,195,0,0,1862.55,0,0,0,0.0
20260327,2026-04-28,21300.0,130,0,0,1820.0,0,0,0,0.0
20260327,2026-04-28,21350.0,65,0,0,2284.4,0,0,0,0.0
20260327,2026-04-28,21400.0,65,0,0,2239.2,1235,1235,19,50.35
20260327,2026-04-28,21450.0,260,0,0,1893.4,0,0,0,0.0
20260327,2026-04-28,21500.0,208585,69160,2360,1705.95,1395420,172835,25800,310.75
20260327,2026-04-28,21550.0,65,0,0,2081.7,0,0,0,0.0
20260327,2026-04-28,21600.0,195,0,0,1581.6,325,325,5,75.75
20260327,2026-04-28,21650.0,65,0,1,1742.45,0,0,0,0.0
20260327,2026-04-28,21700.0,1170,0,5,1695.1,52325,4810,2042,355.6
20260327,2026-04-28,21750.0,260,0,1,1662.35,0,0,0,0.0
20260327,2026-04-28,21800.0,975,195,4,1490.0,68705,23270,1817,379.4
20260327,2026-04-28,21850.0,650,0,0,1283.9,0,0,0,0.0
20260327,2026-04-28,21900.0,1430,260,4,1376.65,40950,23140,1268,394.7
20260327,2026-04-28,21950.0,1560,-65,1,1556.45,0,0,0,0.0
20260327,2026-04-28,22000.0,1252940,228280,10500,1327.0,2741440,489450,53772,427.75
20260327,2026-04-28,22050.0,1560,0,2,1223.65,9360,520,330,443.85
20260327,2026-04-28,22100.0,3900,260,5,1291.2,70850,650,2107,449.45
20260327,2026-04-28,22150.0,3770,260,5,1357.95,0,0,0,0.0
20260327,2026-04-28,22200.0,7280,2405,127,1190.0,69160,20540,2143,482.9
20260327,2026-04-28,22250.0,18785,-195,16,1175.0,31525,-2795,503,490.4
20260327,2026-04-28,22300.0,45045,-3835,276,1129.9,137345,-9425,2300,508.0
20260327,2026-04-28,22350.0,3900,0,0,1412.0,0,0,0,0.0
20260327,2026-04-28,22400.0,59085,2015,282,1053.1,149760,21775,2778,540.1
20260327,2026-04-28,22450.0,3965,1040,24,1022.35,0,0,0,0.0
20260327,2026-04-28,22500.0,649870,184925,8287,982.7,1737905,161395,34707,581.55
20260327,2026-04-28,22550.0,16965,11635,346,964.35,18525,9165,752,592.15
20260327,2026-04-28,22600.0,53885,36660,1075,928.0,168285,51805,2901,617.0
20260327,2026-04-28,22650.0,10205,3575,136,896.35,19045,13520,522,630.45
20260327,2026-04-28,22700.0,164580,-18850,3136,865.0,259675,-14820,6134,651.95
20260327,2026-04-28,22750.0,107900,1820,538,833.5,140725,17940,1529,672.2
20260327,2026-04-28,22800.0,245830,66625,5500,806.3,899470,102245,15748,698.4
20260327,2026-04-28,22850.0,29705,20735,749,780.1,28535,21320,1170,708.2
20260327,2026-04-28,22900.0,235625,88335,5377,752.0,311870,72280,10602,735.65
20260327,2026-04-28,22950.0,35295,24505,903,716.9,33020,21385,1304,753.7
20260327,2026-04-28,23000.0,3163290,1835665,62403,692.0,4626115,1458925,92485,776.65
20260327,2026-04-28,23050.0,196950,177125,3697,666.6,183885,165165,3148,797.75
20260327,2026-04-28,23100.0,606320,305045,13860,640.25,741520,322530,14808,815.35
20260327,2026-04-28,23150.0,42770,27690,1187,616.8,46345,13845,653,840.5
20260327,2026-04-28,23200.0,604760,350870,15323,577.8,699725,349440,15922,868.55
20260327,2026-04-28,23250.0,38935,9295,649,563.25,41145,3705,500,950.85
20260327,2026-04-28,23300.0,483275,158015,9589,538.0,487305,-63505,12344,918.25
20260327,2026-04-28,23350.0,22880,130,448,517.8,27430,-4615,287,939.6
20260327,2026-04-28,23400.0,412750,103480,6677,492.45,472290,14495,6650,984.15
20260327,2026-04-28,23450.0,202800,-5070,780,469.25,198510,-17030,583,992.4
20260327,2026-04-28,23500.0,2415140,162825,51973,446.95,1850420,-458900,31244,1022.2
20260327,2026-04-28,23550.0,155805,0,693,425.8,151515,-17160,395,1055.65
20260327,2026-04-28,23600.0,226980,-27950,3820,407.15,163085,-55575,2220,1083.95
20260327,2026-04-28,23650.0,18980,3315,426,384.4,26585,-6175,228,1119.45
20260327,2026-04-28,23700.0,230490,16445,4808,368.05,106600,-40365,1716,1142.3
20260327,2026-04-28,23750.0,38805,14560,460,338.95,36400,-13195,306,1289.1
20260327,2026-04-28,23800.0,341445,46865,5466,322.05,234130,-13715,973,1198.0
20260327,2026-04-28,23850.0,29835,8710,416,297.85,28535,325,115,1230.0
20260327,2026-04-28,23900.0,156975,23660,2733,290.0,104000,-845,488,1260.0
20260327,2026-04-28,23950.0,36595,5655,396,271.65,20150,2730,91,1278.1
20260327,2026-04-28,24000.0,3158025,521300,57582,258.7,1924585,342160,21872,1340.0
20260327,2026-04-28,24050.0,34710,6175,580,246.8,25545,6305,225,1492.5
20260327,2026-04-28,24100.0,472680,34970,3153,230.0,404755,-390,152,1393.8
20260327,2026-04-28,24150.0,38155,9555,551,215.65,23400,0,1,1376.0
20260327,2026-04-28,24200.0,297180,48425,6031,205.0,161655,2600,724,1458.0
20260327,2026-04-28,24250.0,38610,2860,659,191.6,17550,5200,99,1430.6
20260327,2026-04-28,24300.0,241215,47190,6779,180.5,146705,1235,176,1550.55
20260327,2026-04-28,24350.0,32825,8450,471,170.1,17680,2600,56,1589.15
20260327,2026-04-28,24400.0,328770,10465,4956,158.25,321815,2405,87,1620.0
20260327,2026-04-28,24450.0,30615,-6760,1067,148.25,11375,3770,94,1581.7
20260327,2026-04-28,24500.0,2112175,383955,37481,138.0,1005095,91325,3626,1695.4
20260327,2026-04-28,24550.0,25350,6045,614,129.7,7605,3900,105,1747.35
20260327,2026-04-28,24600.0,282750,10400,4218,122.8,302250,1235,95,1778.25
20260327,2026-04-28,24650.0,22425,5070,744,112.9,9555,4485,87,1756.3
20260327,2026-04-28,24700.0,288925,20670,6787,104.65,180895,3185,160,1841.9
20260327,2026-04-28,24750.0,25350,6435,960,102.7,10985,4290,76,1819.5
20260327,2026-04-28,24800.0,286065,45565,7485,93.25,286130,30745,593,1935.65
20260327,2026-04-28,24850.0,16380,-3055,527,87.7,9360,0,0,1440.0
20260327,2026-04-28,24900.0,224250,1430,6749,81.65,193440,10595,258,2024.4
20260327,2026-04-28,24950.0,14560,1495,193,76.1,2860,0,0,1940.0
20260327,2026-04-28,25000.0,2345720,173745,41414,72.0,1439555,260065,6587,2132.0
20260327,2026-04-28,25050.0,20345,2275,331,67.45,3055,0,2,1937.3
20260327,2026-04-28,25100.0,99190,-16185,2824,61.9,56550,3055,77,2162.7
20260327,2026-04-28,25150.0,19240,1820,124,59.4,4680,0,1,2245.0
20260327,2026-04-28,25200.0,166725,-13325,3910,56.35,88270,16965,407,2308.2
20260327,2026-04-28,25250.0,14300,2210,101,50.3,9360,0,0,1491.95
20260327,2026-04-28,25300.0,152295,-715,2557,48.3,28600,1495,39,2370.05
20260327,2026-04-28,25350.0,8970,780,79,44.5,5005,325,19,2580.0
20260327,2026-04-28,25400.0,148135,18525,3713,43.65,64155,8515,166,2470.0
20260327,2026-04-28,25450.0,19760,2145,80,41.2,9230,0,0,2844.0
20260327,2026-04-28,25500.0,1119495,75595,16993,37.95,693550,96460,3116,2579.0
20260327,2026-04-28,25550.0,22035,1625,56,36.0,6500,0,2,2450.0
20260327,2026-04-28,25600.0,113685,-8190,1693,34.95,50700,5720,114,2658.0
20260327,2026-04-28,25650.0,13520,1105,40,33.55,7605,0,1,2550.0
20260327,2026-04-28,25700.0,153270,8645,951,31.0,57265,11895,198,2755.0
20260327,2026-04-28,25750.0,17420,-1235,228,27.25,3380,1040,19,2800.0
20260327,2026-04-28,25800.0,162110,20670,2859,26.25,78000,5395,137,2831.45
20260327,2026-04-28,25850.0,16315,2275,96,27.0,3640,0,0,2757.0
20260327,2026-04-28,25900.0,76180,12350,906,25.55,19565,6305,195,2950.0
20260327,2026-04-28,25950.0,30875,3705,525,22.1,3770,0,0,2529.9
20260327,2026-04-28,26000.0,2819115,370890,33393,22.8,1438580,327145,8621,3067.85
20260327,2026-04-28,26050.0,19370,1170,43,21.0,2470,0,0,3359.9
20260327,2026-04-28,26100.0,89050,4095,785,20.45,31915,13910,235,3144.0
20260327,2026-04-28,26150.0,11245,-520,72,17.3,975,0,1,3178.85
20260327,2026-04-28,26200.0,263250,18330,3739,18.1,257335,9295,481,3226.3
20260327,2026-04-28,26250.0,9750,130,19,17.8,4030,0,2,3000.0
20260327,2026-04-28,26300.0,55120,-3250,514,16.75,28925,7605,189,3335.5
20260327,2026-04-28,26350.0,7020,65,6,15.0,6045,65,7,3321.5
20260327,2026-04-28,26400.0,73450,-910,306,14.4,14430,3965,230,3491.65
20260327,2026-04-28,26450.0,6435,1040,39,15.05,585,0,0,3440.0
