TradeDate,Expiry,Strike,CE_OI,CE_Chg_OI,CE_Volume,CE_LTP,PE_OI,PE_Chg_OI,PE_Volume,PE_LTP
20260327,2026-04-07,20500.0,195,65,7,2355.0,2167555,1299220,71558,38.5
20260327,2026-04-07,20550.0,65,0,0,2244.75,0,0,0,0.0
20260327,2026-04-07,20600.0,0,0,0,0.0,162240,129675,10946,45.0
20260327,2026-04-07,20650.0,0,0,0,0.0,0,0,0,0.0
20260327,2026-04-07,20700.0,0,0,0,0.0,0,0,0,0.0
20260327,2026-04-07,20750.0,0,0,0,0.0,0,0,0,0.0
20260327,2026-04-07,20800.0,0,0,0,0.0,0,0,0,0.0
20260327,2026-04-07,20850.0,130,0,0,1853.35,0,0,0,0.0
20260327,2026-04-07,20900.0,130,0,0,1809.45,0,0,0,0.0
20260327,2026-04-07,20950.0,130,0,0,1763.4,0,0,0,0.0
20260327,2026-04-07,21000.0,643045,248430,5612,1876.5,2266160,1316445,119509,71.1
20260327,2026-04-07,21050.0,130,0,0,1651.95,0,0,0,0.0
20260327,2026-04-07,21100.0,130,0,0,1631.95,0,0,0,0.0
20260327,2026-04-07,21150.0,130,0,0,1589.45,0,0,0,0.0
20260327,2026-04-07,21200.0,65,0,0,2269.0,3055,3055,47,20.1
20260327,2026-04-07,21250.0,65,0,0,2182.3,0,0,0,0.0
20260327,2026-04-07,21300.0,195,0,0,1480.0,0,0,0,0.0
20260327,2026-04-07,21350.0,325,0,0,1438.0,0,0,0,0.0
20260327,2026-04-07,21400.0,390,0,0,1396.9,0,0,0,0.0
20260327,2026-04-07,21450.0,455,0,2,1731.4,0,0,0,0.0
20260327,2026-04-07,21500.0,168805,122460,2405,1448.8,1252420,657345,70482,122.0
20260327,2026-04-07,21550.0,585,0,0,1268.9,0,0,0,0.0
20260327,2026-04-07,21600.0,455,0,4,1400.0,0,0,0,0.0
20260327,2026-04-07,21650.0,520,0,0,1190.2,1300,1105,17,103.15
20260327,2026-04-07,21700.0,455,-975,23,1285.0,134550,48555,14406,154.1
20260327,2026-04-07,21750.0,65,0,0,2496.25,16640,15795,2835,160.3
20260327,2026-04-07,21800.0,650,585,18,1184.85,224965,118885,28247,168.75
20260327,2026-04-07,21850.0,65,0,0,1241.9,27170,25740,2863,179.1
20260327,2026-04-07,21900.0,780,520,20,1101.1,166140,104910,10817,188.0
20260327,2026-04-07,21950.0,0,-65,1,1188.15,0,0,0,0.0
20260327,2026-04-07,22000.0,169845,62595,2674,1025.0,1641250,785655,123101,210.0
20260327,2026-04-07,22050.0,195,0,0,1372.4,130,130,2,47.95
20260327,2026-04-07,22100.0,5915,4290,92,950.05,201695,126945,17288,229.65
20260327,2026-04-07,22150.0,3445,2795,54,914.0,62140,53625,3272,248.8
20260327,2026-04-07,22200.0,112580,106340,2010,870.65,293735,216125,16155,259.95
20260327,2026-04-07,22250.0,910,0,0,1194.3,54990,44070,3210,267.9
20260327,2026-04-07,22300.0,9815,8970,233,804.3,198770,-156325,23994,286.7
20260327,2026-04-07,22350.0,3315,2210,42,779.65,455,455,7,116.25
20260327,2026-04-07,22400.0,12220,8385,399,730.15,177255,116935,14165,315.95
20260327,2026-04-07,22450.0,3965,1625,111,704.5,0,0,0,0.0
