TradeDate,Expiry,Strike,CE_OI,CE_Chg_OI,CE_Volume,CE_LTP,PE_OI,PE_Chg_OI,PE_Volume,PE_LTP
20260327,2030-12-31,15000.0,0,0,0,0.0,0,0,0,0.0
20260327,2030-12-31,16500.0,0,0,0,0.0,0,0,0,0.0
20260327,2030-12-31,18000.0,0,0,0,0.0,0,0,0,0.0
20260327,2030-12-31,19500.0,0,0,0,0.0,0,0,0,0.0
20260327,2030-12-31,21000.0,0,0,0,0.0,0,0,0,0.0
20260327,2030-12-31,22500.0,0,0,0,0.0,0,0,0,0.0
20260327,2030-12-31,24000.0,0,0,0,0.0,0,0,0,0.0
20260327,2030-12-31,25500.0,0,0,0,0.0,0,0,0,0.0
20260327,2030-12-31,27000.0,0,0,0,0.0,0,0,0,0.0
20260327,2030-12-31,28500.0,0,0,0,0.0,0,0,0,0.0
20260327,2030-12-31,30000.0,0,0,0,0.0,0,0,0,0.0
20260327,2030-12-31,31500.0,0,0,0,0.0,0,0,0,0.0
20260327,2030-12-31,33000.0,0,0,0,0.0,0,0,0,0.0
20260327,2030-12-31,34500.0,0,0,0,0.0,0,0,0,0.0
