TradeDate,Expiry,Strike,CE_OI,CE_Chg_OI,CE_Volume,CE_LTP,PE_OI,PE_Chg_OI,PE_Volume,PE_LTP
20260327,2027-12-28,15000.0,0.0,0.0,0.0,0.0,625,0,0,39.0
20260327,2027-12-28,16500.0,0.0,0.0,0.0,0.0,0,0,0,0.0
20260327,2027-12-28,17000.0,0.0,0.0,0.0,0.0,14460,0,1,155.05
20260327,2027-12-28,18000.0,0.0,0.0,0.0,0.0,11550,0,0,132.8
20260327,2027-12-28,19000.0,0.0,0.0,0.0,0.0,1000,0,0,216.8
20260327,2027-12-28,19500.0,0.0,0.0,0.0,0.0,0,0,0,0.0
20260327,2027-12-28,20000.0,0.0,0.0,0.0,0.0,5360,130,3,530.05
20260327,2027-12-28,21000.0,0.0,0.0,0.0,0.0,4405,1040,18,740.0
20260327,2027-12-28,22000.0,0.0,0.0,0.0,0.0,16220,130,71,1036.05
20260327,2027-12-28,22500.0,0.0,0.0,0.0,0.0,0,0,0,0.0
20260327,2027-12-28,23000.0,0.0,0.0,0.0,0.0,30295,2990,114,1264.05
20260327,2027-12-28,24000.0,6305.0,520.0,15.0,2925.9,17975,520,32,1495.0
20260327,2027-12-28,25000.0,15155.0,-650.0,16.0,2340.0,10190,65,3,1780.0
20260327,2027-12-28,25500.0,0.0,0.0,0.0,0.0,0,0,0,0.0
20260327,2027-12-28,26000.0,6865.0,520.0,11.0,1896.0,12615,-130,4,2206.05
20260327,2027-12-28,27000.0,11400.0,0.0,10.0,1305.0,14565,-10,15,2641.65
20260327,2027-12-28,28500.0,3380.0,0.0,0.0,965.0,65,0,0,1800.0
20260327,2027-12-28,30000.0,4940.0,195.0,6.0,582.1,0,0,0,0.0
20260327,2027-12-28,31500.0,0.0,0.0,0.0,720.0,0,0,0,0.0
20260327,2027-12-28,33000.0,650.0,0.0,0.0,265.0,0,0,0,0.0
20260327,2027-12-28,34500.0,0.0,0.0,0.0,152.0,0,0,0,0.0
