TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-27,2026-03-27,FO,NSE,STO,146394,,NYKAA,,2026-03-30,2026-03-30,292.50,PE,NYKAA26MAR292.5PE,0.00,0.00,0.00,52.85,52.85,52.85,239.65,52.70,9375,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,145414,,NYKAA,,2026-03-30,2026-03-30,295.00,PE,NYKAA26MAR295PE,0.00,0.00,0.00,57.20,57.20,57.20,239.65,55.20,9375,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,134747,,NYKAA,,2026-04-28,2026-04-28,217.50,PE,NYKAA26APR217.5PE,0.00,0.00,0.00,3.65,3.65,3.65,239.65,1.30,6250,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,134765,,NYKAA,,2026-04-28,2026-04-28,262.50,PE,NYKAA26APR262.5PE,0.00,0.00,0.00,14.53,0.00,14.53,239.65,23.55,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,146594,,NYKAA,,2026-04-28,2026-04-28,285.00,PE,NYKAA26APR285PE,0.00,0.00,0.00,48.10,0.00,48.10,239.65,44.25,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,135015,,NYKAA,,2026-05-26,2026-05-26,275.00,PE,NYKAA26MAY275PE,0.00,0.00,0.00,23.85,0.00,23.85,239.65,35.25,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,135029,,NYKAA,,2026-05-26,2026-05-26,290.00,PE,NYKAA26MAY290PE,0.00,0.00,0.00,33.68,0.00,33.68,239.65,48.70,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,145389,,NYKAA,,2026-03-30,2026-03-30,235.00,CE,NYKAA26MAR235CE,7.00,7.00,4.50,5.80,5.80,10.40,239.65,5.80,168750,-37500,25,18829218.75,24,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,146372,,NYKAA,,2026-03-30,2026-03-30,237.50,PE,NYKAA26MAR237.5PE,2.20,2.80,1.45,1.90,1.45,1.60,239.65,1.90,65625,-9375,42,31453125.00,40,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,146386,,NYKAA,,2026-03-30,2026-03-30,272.50,PE,NYKAA26MAR272.5PE,0.00,0.00,0.00,28.15,28.15,28.15,239.65,32.75,43750,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,145428,,NYKAA,,2026-03-30,2026-03-30,310.00,PE,NYKAA26MAR310PE,0.00,0.00,0.00,43.74,43.74,43.74,239.65,70.20,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,134761,,NYKAA,,2026-04-28,2026-04-28,252.50,PE,NYKAA26APR252.5PE,0.00,0.00,0.00,10.00,0.00,10.00,239.65,15.75,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,146584,,NYKAA,,2026-04-28,2026-04-28,265.00,PE,NYKAA26APR265PE,0.00,0.00,0.00,32.25,0.00,32.25,239.65,25.70,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,134767,,NYKAA,,2026-04-28,2026-04-28,267.50,PE,NYKAA26APR267.5PE,0.00,0.00,0.00,17.18,0.00,17.18,239.65,27.90,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,145385,,NYKAA,,2026-03-30,2026-03-30,225.00,CE,NYKAA26MAR225CE,0.00,0.00,0.00,11.20,11.30,11.20,239.65,14.75,31250,0,0,0.00,0,F1,3125,,,,,
