TradeDate,Expiry,Strike,CE_OI,CE_Chg_OI,CE_Volume,CE_LTP,PE_OI,PE_Chg_OI,PE_Volume,PE_LTP
20260327,2026-03-30,19000.0,46495,-77310,1641,3798.75,4519520,-1101560,263845,1.0
20260327,2026-03-30,20000.0,109110,8125,1079,2796.5,14624325,-441545,529085,1.85
20260327,2026-03-30,20500.0,130,0,0,2525.0,4737330,391365,290791,2.25
20260327,2026-03-30,20550.0,0,0,0,2368.4,151320,3445,32310,2.05
20260327,2026-03-30,20600.0,0,0,0,0.0,301080,-127530,54264,2.1
20260327,2026-03-30,20650.0,0,0,0,2270.9,132470,-78130,29966,2.8
20260327,2026-03-30,20700.0,0,0,0,2221.7,411970,-38220,69169,1.95
20260327,2026-03-30,20750.0,0,0,0,2167.25,109460,-16705,28168,2.6
20260327,2026-03-30,20800.0,0,0,0,2123.05,665080,144430,105381,2.2
20260327,2026-03-30,20850.0,130,-260,6,2135.0,361855,-75530,39022,2.5
20260327,2026-03-30,20900.0,65,0,0,1747.05,552240,93340,92953,2.2
20260327,2026-03-30,20950.0,195,0,0,2537.65,673205,187980,66724,2.35
20260327,2026-03-30,21000.0,276670,-70505,4574,1799.0,7118925,-902045,739204,2.55
20260327,2026-03-30,21050.0,130,0,0,2101.85,285285,80210,78919,2.25
20260327,2026-03-30,21100.0,130,0,0,1550.0,741260,-32565,207965,2.3
20260327,2026-03-30,21150.0,130,0,0,2005.8,217230,9750,69235,2.4
20260327,2026-03-30,21200.0,130,0,0,2296.3,1386320,6630,366126,2.35
20260327,2026-03-30,21250.0,325,0,0,1744.3,518960,227500,119196,2.35
20260327,2026-03-30,21300.0,65,0,0,1622.3,2819050,1283035,302715,2.8
20260327,2026-03-30,21350.0,0,0,0,1588.3,444470,163345,105461,3.3
20260327,2026-03-30,21400.0,520,0,3,1571.05,1373710,239915,312944,3.35
20260327,2026-03-30,21450.0,195,-65,1,1570.0,568685,193570,165671,4.1
20260327,2026-03-30,21500.0,77285,-1430,822,1308.15,7255755,538850,977725,4.6
20260327,2026-03-30,21550.0,325,-65,1,1470.0,713440,456105,189693,5.1
